DateTime,Open,High,Low,Close,Volume
2025-03-11 15:15:00+05:30,139.95,140.64,139.86,140.63,1052676
2025-03-12 09:15:00+05:30,140.11,142.93,140.11,141.04,2091533
2025-03-12 10:15:00+05:30,140.96,141.79,140.05,140.28,648179
2025-03-12 11:15:00+05:30,140.2,140.31,139.1,139.98,716097
2025-03-12 12:15:00+05:30,139.97,140.47,139.14,140.47,547880
2025-03-12 13:15:00+05:30,140.47,141.47,140.22,140.83,670463
2025-03-12 14:15:00+05:30,140.8,142.0,140.8,141.65,840635
2025-03-12 15:15:00+05:30,141.65,141.74,141.2,141.36,310193
2025-03-13 09:15:00+05:30,141.98,142.38,140.74,141.81,1035781
2025-03-13 10:15:00+05:30,141.89,142.0,140.8,141.39,533415
2025-03-13 11:15:00+05:30,141.39,141.39,140.1,140.81,525484
2025-03-13 12:15:00+05:30,140.82,141.37,140.72,140.9,427192
2025-03-13 13:15:00+05:30,140.9,141.32,140.75,141.03,511327
2025-03-13 14:15:00+05:30,141.04,141.04,139.13,139.75,1629304
2025-03-13 15:15:00+05:30,139.79,139.87,139.26,139.65,438274
2025-03-17 09:15:00+05:30,140.7,143.48,140.7,140.8,2880526
2025-03-17 10:15:00+05:30,140.79,140.9,139.89,140.0,701269
2025-03-17 11:15:00+05:30,140.05,140.3,138.49,138.55,1053315
2025-03-17 12:15:00+05:30,138.62,138.62,137.61,138.21,695934
2025-03-17 13:15:00+05:30,138.21,139.09,138.21,138.94,593813
2025-03-17 14:15:00+05:30,138.91,139.02,138.01,138.25,753045
2025-03-17 15:15:00+05:30,138.3,138.77,138.1,138.23,645428
2025-03-18 09:15:00+05:30,139.2,140.4,139.0,140.14,912810
2025-03-18 10:15:00+05:30,140.14,140.22,139.21,139.62,465034
2025-03-18 11:15:00+05:30,139.6,140.22,139.07,140.01,676576
2025-03-18 12:15:00+05:30,140.01,140.22,138.76,139.83,589958
2025-03-18 13:15:00+05:30,139.8,140.48,139.51,140.45,647551
2025-03-18 14:15:00+05:30,140.45,140.79,139.8,140.5,1469486
2025-03-18 15:15:00+05:30,140.5,140.9,140.47,140.9,450528
2025-03-19 09:15:00+05:30,140.68,142.25,140.43,141.1,3039620
2025-03-19 10:15:00+05:30,141.13,141.69,141.02,141.13,1267045
2025-03-19 11:15:00+05:30,141.13,141.25,140.55,140.78,1091382
2025-03-19 12:15:00+05:30,140.76,141.57,140.74,140.96,1075280
2025-03-19 13:15:00+05:30,141.0,141.85,140.9,141.2,1245281
2025-03-19 14:15:00+05:30,141.23,141.77,141.2,141.24,1544711
2025-03-19 15:15:00+05:30,141.22,141.35,141.06,141.15,738681
2025-03-20 09:15:00+05:30,141.69,143.73,141.11,141.28,1728180
2025-03-20 10:15:00+05:30,141.28,142.05,141.28,141.88,571863
2025-03-20 11:15:00+05:30,141.88,142.42,141.6,142.3,854943
2025-03-20 12:15:00+05:30,142.29,142.5,141.85,142.08,481078
2025-03-20 13:15:00+05:30,142.08,142.25,141.7,141.86,357856
2025-03-20 14:15:00+05:30,141.93,142.14,141.59,141.65,654347
2025-03-20 15:15:00+05:30,141.65,141.68,141.25,141.44,525652
2025-03-21 09:15:00+05:30,141.52,143.1,141.0,142.81,1609845
2025-03-21 10:15:00+05:30,142.75,144.9,142.6,144.51,2206958
2025-03-21 11:15:00+05:30,144.55,144.6,143.69,143.82,625048
2025-03-21 12:15:00+05:30,143.82,144.0,143.5,143.51,436174
2025-03-21 13:15:00+05:30,143.59,144.18,142.75,143.93,741310
2025-03-21 14:15:00+05:30,143.93,145.28,143.91,145.09,1799937
